"surveyID","bdod_0.5cm_mean","cec_0.5cm_mean","cfvo_0.5cm_mean","clay_0.5cm_mean","nitrogen_0.5cm_mean","ocd_0.5cm_mean","phh2o_0.5cm_mean","sand_0.5cm_mean","silt_0.5cm_mean","soc_0.5cm_mean","Water","Mangroves","Grassland","Buildings","Herb Wetland","Tree cover","Cropland","Bare","Shrubland","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Lat","Long","b1","Year","NPP_y","Npp_QC","Yearly_NDVI","Yearly_leaf_area_index_high_vegetation","Yearly_leaf_area_index_low_vegetation","Herb.Wetland.2","Tree.cover.2","Herb.Wetland.1","Tree.cover.1","Herb.Wetland","Tree.cover","col.names"
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2002,1.0115,30,5007.93181818182,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2003,0.74305,28,4168.06818181818,0,1.55315722613918,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2004,1.00925,37.5,4434.26086956522,0,1.56762154866408,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2005,0.839,18,4496.81818181818,0,1.579372118594,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2006,0.7763,19,4142.02272727273,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2007,0.84145,31,4173.86363636364,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2008,0.9664,23.5,4724.84090909091,0,1.56697999687605,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2009,0.9904,37,4799.4347826087,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2010,0.87925,21,4796.09090909091,0,1.55267798779747,NA,NA,NA,NA,NA,NA,NA
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1",139.25,168.5,82.25,212,1291.75,205.25,67,592.75,195.25,141.75,NA,NA,0.0204081632653061,NA,NA,NA,NA,0.0204081632653061,0.959183673469388,228.75,90,70.5,1253.5,294.25,167.75,126.5,232.75,228.75,241.75,209.75,384.75,83.75,3,81.25,206.75,13,135.5,99.25,-7.3669432,-36.2601436,0.284500002861023,2011,1.0484,25,5194.52272727273,0,1.56746663485682,NA,NA,NA,NA,NA,NA,NA
