"surveyID","Biome1","Lat","Long"
"Abdala_Site 10_Solanum_donianum_Survey 1","Forest",21.34917,-89.200825
"Abdala_Site 12_Solanum_tridynamum_Survey 1","Forest",21.301403,-89.331731
"Abdala_Site 13_Solanum_tridynamum_Survey 1","Forest",21.283488,-89.318914
"Abdala_Site 14_Solanum_tridynamum_Survey 1","Forest",21.330256,-89.175373
"Abdala_Site 1_Coccoloba_uvifera_Survey 1","Forest",21.172052,-90.006195
"Abdala_Site 1_Waltheria_indica_Survey 1","Forest",20.802356,-89.626414
"Abdala_Site 2_Coccoloba_uvifera_Survey 1","Forest",21.169056,-90.009549
"Abdala_Site 2_Waltheria_indica_Survey 1","Forest",21.10394,-89.626377
"Abdala_Site 3_Gossypium_hirsutum_Survey 1","Forest",21.344701,-89.237815
"Abdala_Site 3_Solanum_donianum_Survey 1","Forest",21.344807,-89.23737
"Abdala_Site 4_Gossypium_hirsutum_Survey 1","Forest",21.305197,-89.540727
"Abdala_Site 5_Gossypium_hirsutum_Survey 1","Forest",21.304534,-89.55018
"Abdala_Site 6_Ruellia_nudiflora_Survey 1","Forest",20.51217,-89.341
"Abdala_Site 6_Waltheria_indica_Survey 1","Forest",20.855897,-89.569708
"Abdala_Site 7_Ruellia_nudiflora_Survey 1","Forest",20.508779,-89.708413
"Abdala_Site 8_Ruellia_nudiflora_Survey 1","Forest",20.464794,-89.680123
"Abdala_Site 9_Solanum_donianum_Survey 1","Forest",21.342672,-89.251419
"Allen_Site 1_Hebe_salicifolia_Survey 1","Grassland",-43.462697,172.604993
"Allen_Site 1_Phormium_tenax_Survey 1","Grassland",-43.462697,172.604993
"Allen_Site 1_Taraxacum_officinale_Survey 1","Grassland",-43.56693,172.745531
"Allen_Site 3_Plantago_lanceolata_Survey 1","Grassland",-43.456074,172.490015
"Allen_Site 4_Senecio_elegans_Survey 1","Grassland",-43.280976,172.723196
"Andrad_Site 1_Mimosa_tenuiflora_Survey 1","Forest",-7.3669432,-36.2601436
"Andrad_Site 1_Tacinga_palmadora_Survey 1","Forest",-7.3669432,-36.2601436
"Andrad_Site 1_Ziziphus_joazeiro_Survey 1","Forest",-7.3669432,-36.2601436
"Anjos_Site 1_Microstachys_serrulata_Survey 1","Grassland",-18.983807,-48.301442
